Producto,Modelo,Descripcion,Link,Categoria,Response
WC Andrómeda Gs,58015021,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: manija frontal cromada
• Altura: 14 3/4”
• Cerámica de alto brillo
• MAP: 650gr
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/wc-andromeda-gs-58015021,WC,El WC Andrómeda Gs de la marca Urrea es un inodoro ideal para los baños. Está fabricado con cerámica de alto brillo y una MAP de 650gr. Su descarga es de 4.8 LPD y la válvula de descarga es sencilla de 2”. El inodoro es alargado con una altura de 14 3/4” y una manija frontal cromada. Es de fácil instalación gracias a la tecnología Simplo. Esta moderna y elegante opción de WC hará que tu baño se vea increíble.
Tanque Royalty GS AL,51349042,"• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Cerámica de alto brillo
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/tanque-royalty-gs-al-51349042,Tanque,"El Tanque Royalty GS AL de Urrea es el mejor tanque para inodoro que puedes encontrar en el mercado. Es un depósito para WC de 4.8 LPD, con una manija lateral cromada para una descarga sencilla de 2"" y una cerámica de alto brillo. Está diseñado para ser instalado en un inodoro con la instalación de Simplo, ofreciendo una solución práctica, segura y fácil de usar. Está hecho con materiales de la mejor calidad para garantizar una durabilidad y resistencia a largo plazo. El Tanque Royalty GS AL de Urrea es la mejor opción para asegurar una descarga eficiente y segura."
Paquete Andrómeda Castelar,58019021,"Incluye: Taza Andrómeda 4.8 AL, Tanque Andrómeda 4.8 AL, Lavabo Austria  4”, Pedestal Austria",https://urrea.mx/banos/ceramicos/paquete-andromeda-castelar-58019021,Kit WC lavabo,"El Paquete Andrómeda Castelar de la marca Urrea es el kit perfecto para tu baño. Incluye una taza Andrómeda 4.8 AL, un tanque Andrómeda 4.8 AL, un lavabo Austria 4” y un pedestal Austria. Esta es una solución completa para tu baño y es ideal para la instalación de Simplo. El lavamanos es una parte esencial de tu baño, y este paquete para baño te ofrece todo lo que necesitas para tener un lavabo moderno y funcional. Además, el inodoro ofrece un diseño moderno con una alta calidad de materiales. El WC para baños ofrece una solución moderna y práctica para tu baño. El Paquete Andrómeda Castelar de Urrea es la solución perfecta para tu baño."
WC Real DUAL AL,WC4059A021,"• Sanitario alargado
• Tipo de Descarga: botón dual superior
• Descarga: 4.8/ 3 LPD
• Altura: 15 1/2”
• Asiento: caída suave incluido
• Cerámica de alto brillo
• MAP: 800 gr
• Ahorro de agua
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/wc-real-dual-al-wc4059a021,WC,"El WC Real DUAL AL de Urrea es un inodoro de alta calidad, perfecto para baños modernos. Su diseño alargado y su caída suave del asiento lo hacen una excelente opción para cualquier hogar. Su instalación es sencilla gracias a la instalación de Simplo, y su válvula de descarga dual de 3"" permite un ahorro de agua significativo. La cerámica de alto brillo y el peso de 800 gr completan un producto de gran calidad. El WC Real DUAL AL de Urrea es el wc perfecto para tu hogar."
"Lavabo Flandes 4""",52050021,"• Lavabo sobrecubierta
• Cerámica de alto brillo
• Con rebosadero
• Disponible para 4” y 1 taladro",https://urrea.mx/banos/ceramicos/lavabo-flandes-4-52050021,Lavabo,"El Lavabo Flandes 4 de Urrea es un lavamanos con un diseño moderno y elegante, ideal para cualquier baño. Está hecho de cerámica de alto brillo para una limpieza fácil y una apariencia hermosa. El lavabo viene con un rebosadero incorporado para una instalación de Simplo. El lavabo también está disponible en dos tamaños, 4"" y 1 taladro. Está diseñado para resistir el uso diario sin ningún problema. Este lavabo de baño es una excelente opción para cualquier hogar, ya que ofrece durabilidad, calidad y estilo."
Juegos de accesorios de Empotrar,56000042,"Incluye:
• Barra toallera
• Portarrollo
• Jabonera para regadera
• Jabonera para lavabo
• Gancho
• Cepillero        ",https://urrea.mx/banos/ceramicos/juegos-de-accesorios-de-empotrar-56000042,Juego Accesorios,"
El Kit de Accesorios de Baño de Urrea es una excelente opción para aquellos que buscan una forma sencilla de instalar productos de baño de la mejor calidad. El kit incluye todos los elementos necesarios para la instalación de Simplo, como una barra toallera, un portarrollo, una jabonera para regadera, una jabonera para lavabo, un gancho y un cepillero. Estos productos están hechos de materiales resistentes y duraderos, para que puedan soportar el uso diario de tu baño. Además, cada uno de los elementos del kit se empotra fácilmente en la pared, para que puedas disfrutar de un baño práctico y moderno. ¡El Kit de Accesorios de Baño de Urrea es la mejor forma de actualizar tu baño!"
Taza Novara GS 4.8 RD,50452042,"• Sanitario redondo
• Descarga: 4.8 LPD
• Tipo de Descarga: manija frontal cromada
• Altura: 14 1/2”
• Trampa: expuesta
• Cerámica de alto brillo
• MAP: 500gr
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/taza-novara-gs-4-8-rd-50452042,WC,"La Taza Novara GS 4.8 RD de Urrea es un inodoro WC para baños con una instalación Simplo. Esta taza cuenta con una descarga de 4.8 LPD, una manija frontal cromada para la descarga, una altura de 14 1/2”, una trampa expuesta, una cerámica de alto brillo y una válvula de descarga sencilla de 2”. Esta taza resistente y de calidad superior, es perfecta para una instalación duradera. Su diseño moderno y elegante hará que tu baño tenga una apariencia única. Esta taza es una excelente opción para aquellos que buscan una instalación de alto rendimiento y un aspecto moderno."
Mingitorio chico para fluxómetro,72.7401.23,"Paredes de privacidad,Descarga: 0.5 a 3.8 litros,Spud superior: 19 mm (3/4""),Salida a red sanitaria: 2"",Trampa integrada",https://urrea.mx/banos/ceramicos/mingitorio-chico-para-fluxometro-72-7401-23-2,Mingitorio,"El Mingitorio Chico para Fluxómetro de Urrea es un urinario de paredes de privacidad diseñado para una instalación de Simplo. Está fabricado para descargar entre 0.5 y 3.8 litros, con un spud superior de 19 mm (3/4"") y salida a red sanitaria de 2"". Además, cuenta con una trampa integrada para una mayor comodidad y seguridad. Es el retrete perfecto para aquellos que buscan una solución moderna y confiable para su WC. Su diseño ergonómico y su calidad de fabricación lo hacen ideal para crear un espacio moderno y funcional."
One Piece Quadro II,TZ2051A021,"• Sanitario alargado
• Descarga 4.8/ 3.5 LPD
• Tipo de Descarga: botón dual superior
• Altura: 15 ½”
• Asiento: Super Slim caída suave incluido
• Trampa: oculta esmaltada
• Cerámica de alto brillo
• MAP: 1000 gr
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/one-piece-quadro-ii-tz2051a021,WC,"One Piece Quadro II es un inodoro de la marca Urrea, ideal para los WC de los baños. Está diseñado con una descarga de 4.8/ 3.5 LPD y un botón dual superior para una descarga eficiente. Está equipado con un asiento Super Slim caída suave para una experiencia cómoda. La trampa está oculta y esmaltada para una instalación de Simplo. Esta cerámica de alto brillo tiene un MAP de 1000 gr y una válvula de descarga dual de 3"". Esta unidad tiene una altura de 15 ½”, perfecta para los baños."
One Piece Itzá,TZ2054A021,"• Sanitario alargado
• Descarga 4.8/ 3.5 LPD
• Tipo de Descarga: botón dual superior
• Altura: 16 ½”
• Asiento: Super Slim caída suave incluido
• Trampa: oculta esmaltada
• Cerámica de alto brillo
• MAP: 800 gr
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/one-piece-itza-tz2054a021,WC,"El inodoro One Piece Itzá de Urrea es un WC para baños modernos y elegantes. Está hecho con cerámica de alto brillo y cuenta con una descarga de 4.8/ 3.5 LPD. Su asiento Super Slim caída suave es ideal para el confort y la comodidad. La trampa oculta esmaltada y la altura de 16 ½” añaden al diseño un toque moderno. La instalación de Simplo es fácil y rápida, y la válvula de descarga dual de 3"" te ofrece una descarga más rápida y eficiente. El One Piece Itzá es la elección perfecta para tu baño."
Tanque Dolphin DUAL,51603041,"• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: botón dual superior
• Cerámica de alto brillo
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/tanque-dolphin-dual-51603041,Tanque,"El Tanque Dolphin DUAL de Urrea es un tanque para inodoro de alto brillo, perfecto para una instalación de Simplo. Este depósito para wc es una solución ideal para un baño moderno y con estilo. El Tanque Dolphin DUAL tiene una válvula de descarga dual de 3"" y una descarga de 4.8/3 LPD, lo que lo convierte en una opción de alto rendimiento. Está diseñado para proporcionar una descarga rápida y silenciosa con un botón dual superior para un control fácil. Esta innovadora solución es perfecta para los baños modernos, ofreciendo una excelente resistencia a la corrosión y una gran durabilidad. El Tanque Dolphin DUAL de Urrea es una excelente opción para un depósito para inodoro de alto rendimiento y estilo moderno."
Tanque Oculto Muro Sólido Taza Suspendida,TQ3005B001,"• Tanque para sanitario suspendido
• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: pulsador dual cromo Incluido
• Ancho de Tanque: 86 mm
• Altura: ajustable (0 - 7.87”)
• Soporta hasta 400 kg de peso",https://urrea.mx/banos/ceramicos/tanque-oculto-muro-solido-taza-suspendida-tq3005b001,Tanque,"El Tanque Oculto Muro Sólido Taza Suspendida de Urrea es una solución para la instalación de un inodoro moderno. Está fabricado con materiales resistentes y soporta hasta 400 kg de peso. Su diseño incluye un depósito para WC con una descarga de 4.8/3 LPD y un pulsador dual cromo. El tanque para inodoro es ajustable, con un ancho de 86 mm y una altura de 0 a 7.87”. La instalación de Simplo es fácil de hacer y requiere de menos materiales, lo que lo hace más económico. Además, es una excelente opción para los espacios reducidos ya que es un producto compacto y moderno."
Pedestal Cosmos,53006042,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4”
• Altura normal",https://urrea.mx/banos/ceramicos/pedestal-cosmos-53006042,Lavabo,"El Pedestal Cosmos de Urrea es un lavabo para baño de cerámica de alto brillo con un rebosadero, ideal para una instalación de Simplo. Está disponible en un tamaño de 4” para asegurar la comodidad. Está diseñado con una altura normal para una mejor experiencia de uso. Esta opción de lavamanos es perfecta para aquellos que buscan una solución moderna y práctica para su baño. El Pedestal Cosmos de Urrea es una excelente opción para aquellos que quieren darle un toque moderno a su baño."
WC Real MLA AL,WC4031A041,"Sanitario alargado, Tipo de descarga: manija lateral cromada, Altura:15 1/2"", Asiento: caída suave incluido, Cerámica de alto brillo, MAP:1000 gr",https://urrea.mx/banos/ceramicos/wc-real-mla-al-wc4031a041,WC,"El WC Real MLA AL de Urrea es el inodoro perfecto para tu baño. Su descarga de manija lateral cromada, su altura de 15 1/2"" y su asiento con caída suave incluido, harán que tu baño se vea moderno y elegante. Está hecho de cerámica de alto brillo con un MAP de 1000 gr, lo que lo hace resistente y duradero. La instalación de Simplo es fácil y rápida, lo que te permite disfrutar de tu WC para baños de manera inmediata."
Lavabo NEO 1 taladro,LV1048A021,"• Lavabo de sobreponer
• Cerámica de alto brillo
• Sin rebosadero
• Disponible en 1 taladro",https://urrea.mx/banos/ceramicos/lavabo-neo-1-taladro-lv1048a021,Lavabo,"El Lavabo NEO 1 Taladro de Urrea es la mejor opción para tu baño. Este lavamanos de sobreponer es de cerámica de alto brillo y no cuenta con rebosadero. Su instalación es de tipo Simplo, por lo que es muy fácil de instalar. El Lavabo NEO 1 Taladro es perfecto para tu baño, ya que es uno de los lavabos más modernos y versátiles del mercado, ideal para darle un toque de elegancia a tu espacio. Esta pieza de cerámica de alto brillo es una excelente alternativa para tu lavabo para baño, y es perfecto para cualquier tipo de decoración."
Taza Dolphin AL,50430042,"• Sanitario alargado
• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: botón dual superior
• Altura: 15 1/2”
• Trampa: expuesta esmaltada
• Cerámica de alto brillo
• MAP: 800gr
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/taza-dolphin-al-50430042,WC,"La Taza Dolphin AL de Urrea es el inodoro perfecto para los baños modernos. Esta taza sanitaria alargada ofrece una descarga de 4.8 / 3 LPD con un botón dual superior para una mayor comodidad. La altura de 15 1/2” y la trampa expuesta esmaltada son una combinación ideal para una instalación de Simplo. La cerámica de alto brillo y la válvula de descarga dual de 3"" aseguran que esta taza sea resistente y duradera. Además, el Map de 800gr garantiza una excelente calidad y una limpieza fácil. Esta taza es la elección perfecta para cualquier baño moderno."
"Lavabo Cosmos 4""",52006022,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4”
• Altura normal",https://urrea.mx/banos/ceramicos/lavabo-cosmos-4-52006022,Lavabo,El Lavabo Cosmos 4 de Urrea es el lavamanos ideal para tu baño. Su cerámica de alto brillo es resistente y fácil de limpiar. Viene con un rebosadero y una altura normal para una instalación de Simplo. Está disponible en 4” para adaptarse a la decoración de tu baño. El Lavabo Cosmos 4 es un lavabo para baño que combina la funcionalidad con la estética. Se trata de una excelente opción para obtener un toque de elegancia en tu baño.
Taza Andrómeda GS,50455022,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: manija frontal cromada
• Altura: 14 3/4”
• Cerámica de alto brillo
• MAP: 650gr
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/taza-andromeda-gs-50455022,WC,"La Taza Andrómeda GS de Urrea es un inodoro moderno y elegante que se ajusta a la perfección a cualquier baño. Su diseño único y moderno es ideal para la instalación de Simplo. Esta taza cuenta con un sanitario alargado, una descarga de 4.8 LPD, una manija frontal cromada para una descarga sencilla de 2”, una altura de 14 3/4”, una cerámica de alto brillo y un MAP de 650gr. Esta taza moderna y elegante es perfecta para cualquier baño y ofrece una experiencia de uso única."
WC Dolphin AL,58475041,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Altura: 15 1/2”
• Trampa: expuesta esmaltada
• Cerámica de alto brillo
• MAP: 800gr
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/wc-dolphin-al-58475041,WC,"El WC Dolphin AL de Urrea es un inodoro moderno y funcional que se adapta perfectamente a los baños. Está fabricado con cerámica de alto brillo y una trampa expuesta esmaltada. La descarga de 4.8 LPD está equipada con una manija lateral cromada y una válvula de descarga sencilla de 3"". Está diseñado para una instalación sencilla con Simplo, y tiene una altura de 15 1/2” y un MAP de 800gr. El WC Dolphin AL de Urrea es una excelente opción para aquellos que buscan un inodoro moderno con una instalación fácil."
Lavabo Cassia,LV1035A021,Lavabo rectangular     ,https://urrea.mx/banos/ceramicos/lavabo-cassia-lv1035a021,Lavabo,"
El Lavabo Cassia de Urrea es la mejor opción para tu baño. Su diseño moderno y rectangular, combinado con una instalación de Simplo, hacen que sea un lavamanos muy versátil. Su acabado en blanco mate lo hace perfecto para combinar con cualquier estilo de decoración. El material de este lavabo para baño es de primera calidad, con una superficie lisa y resistente a la humedad. Esta resistencia al agua hace que sea una excelente opción para usar en baños con alto tráfico. La instalación de Simplo hace que sea fácil de montar, sin necesidad de herramientas complejas. El Lavabo Cassia de Urrea es una excelente opción para tu baño, con un diseño moderno y resistencia al agua."
Tanque KINO,TQ1056A021,"• Descarga 3.8 LPD
• Tipo de Descarga: manija lateral cromada
• Cerámica de alto brillo
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/tanque-kino-tq1056a021,Tanque,"El Tanque KINO de Urrea es un tanque para inodoro de 3.8 LPD con una descarga lateral cromada. Esta cerámica de alto brillo cuenta con una válvula de descarga sencilla de 2"" y una instalación de Simplo. Es el depósito ideal para tu WC ya que ofrece una descarga y una instalación de alta calidad. El Tanque KINO es resistente, duradero y seguro para la instalación de tu inodoro. Está hecho con materiales resistentes para garantizar una larga vida útil. El cromado de la descarga lateral le da un toque de elegancia a tu baño. El Tanque KINO es la mejor opción para tu depósito de inodoro."
Taza redonda para fluxómetro,72.7301.23,"Trampa internamente esmaltada,Descarga 4.8 litros,Altura: 15"",Incluye asiento con bisagras reforzadas, caída normal,Desaloja 1,000 gr",https://urrea.mx/banos/ceramicos/taza-redonda-para-fluxometro-72-7301-23-2,WC,"La taza redonda para fluxómetro de la marca Urrea es un producto de gran calidad y durabilidad, diseñado para su uso en inodoros, WC para baños, e incluso para la instalación de Simplo. Esta taza es internamente esmaltada, con una descarga de 4.8 litros, una altura de 15"", y un asiento con bisagras reforzadas para una caída normal. Además, esta taza te permite desalojar hasta 1,000 gr. de agua. Esta taza redonda para fluxómetro es un producto robusto y moderno, diseñado para brindarte la mejor experiencia posible."
Tanque Dolphin DUAL,51603021,"• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: botón dual superior
• Cerámica de alto brillo
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/tanque-dolphin-dual-51603021,Tanque,"El Tanque Dolphin DUAL de Urrea es el tanque para inodoro perfecto para tu hogar. Su depósito para WC de 4.8/3 LPD, botón dual superior y válvula de descarga dual de 3"" te ofrecen una descarga rápida, limpia y eficiente. Su cerámica de alto brillo le da una apariencia moderna y elegante a tu baño. La instalación de Simplo es rápida y sencilla, lo cual te ahorra tiempo y esfuerzo. El Tanque Dolphin DUAL de Urrea es la solución ideal para darle un toque moderno y funcional a tu baño."
WC Dolphin AL,58475021,"• Sanitario alargado
• Descarga: 4.8 LPD
• Tipo de Descarga: manija lateral cromada
• Altura: 15 1/2”
• Trampa: expuesta esmaltada
• Cerámica de alto brillo
• MAP: 800gr
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/wc-dolphin-al-58475021,WC,"El WC Dolphin AL de Urrea es un inodoro alargado que ofrece una descarga de 4.8 LPD. Viene con una manija lateral cromada para una descarga sencilla de 3"". Está fabricado con cerámica de alto brillo para una mayor resistencia y durabilidad. Esta versión incluye una trampa expuesta esmaltada para una instalación de Simplo. Además, su altura de 15 1/2"" lo hace ideal para baños pequeños. El MAP de 800gr ofrece seguridad y resistencia a la presión. El WC Dolphin AL de Urrea es una solución de calidad para tu baño."
Tanque Novara GS 4.8 RD,51452022,"• Descarga: 4.8 LPD
• Tipo de Descarga: manija frontal cromada
• Cerámica de alto brillo
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/tanque-novara-gs-4-8-rd-51452022,Tanque,"El Tanque Novara GS 4.8 RD de Urrea es un tanque para inodoro de alto rendimiento. Viene equipado con un depósito para WC de 4.8 litros por descarga, una manija frontal cromada para mayor comodidad y una cerámica de alto brillo para una apariencia elegante. Está equipado con una válvula de descarga sencilla de 2"" para una instalación de Simplo. Esta herramienta de alto rendimiento es perfecta para los inodoros modernos, ofreciendo una gran eficiencia y un diseño moderno. El Tanque Novara GS 4.8 RD de Urrea es una excelente opción para los que buscan un tanque para inodoro de calidad."
"Lavabo Austria 4""",52010042,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4” y 1 taladro
• Altura normal",https://urrea.mx/banos/ceramicos/lavabo-austria-4-52010042,Lavabo,"El Lavabo Austria 4 de Urrea es un lavabo para baño moderno que se caracteriza por su cerámica de alto brillo, su rebosadero y su pedestal a piso. Está disponible en 4"" y 1 taladro, lo que facilita su instalación de Simplo. Esta moderna pieza de baño es un lavamanos de altura normal que ofrece una sensación de lujo y comodidad para tu hogar. Está hecho con materiales duraderos que garantizan su uso durante años. Es ideal para aquellos que buscan un lavabo para baño moderno con estilo y funcionalidad."
"Lavabo Royalty II 4""",52616042,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4” taladros
• Altura normal",https://urrea.mx/banos/ceramicos/lavabo-royalty-ii-4-52616042,Lavabo,"El Lavabo Royalty II 4 de Urrea es un lavabo para baño de pedestal a piso con cerámica de alto brillo y rebosadero. Está especialmente diseñado para una instalación de Simplo con 4” taladros para una altura normal. Esta es la opción perfecta para aquellos que buscan un lavamanos moderno y funcional para su baño. La cerámica de alto brillo le dará un toque de elegancia a cualquier baño, mientras que el rebosadero le dará una sensación de lujo. El Lavabo Royalty II 4 de Urrea es la opción perfecta para aquellos que desean darle a su baño un toque moderno y elegante."
Paquete Cosmos I,58511041,"Incluye: Taza Novara 4.8 RD, Tanque Novara 4.8 RD, Lavabo Cosmos, Juego de accesorios",https://urrea.mx/banos/ceramicos/paquete-cosmos-i-58511041,Kit WC lavabo,"El Paquete Cosmos I de Urrea es el kit perfecto para tu baño. Está compuesto por una taza Novara 4.8 RD, un tanque Novara 4.8 RD, un lavabo Cosmos y un juego de accesorios. Es el paquete ideal para una instalación de Simplo y para crear un espacio moderno y funcional en tu baño. El lavamanos Cosmos es perfecto para disfrutar de un baño cómodo y práctico, y su diseño moderno se adapta a cualquier estilo de decoración. El inodoro Novara 4.8 RD es un WC para baños con una alta calidad y resistencia, ideal para un uso diario. Esta combinación de productos te permitirá disfrutar de un baño moderno, funcional y seguro."
Lavabo Ania,52047041,"• Lavabo de sobreponer
• Cerámica de alto brillo
• Sin rebosadero
• Sin perforaciones        ",https://urrea.mx/banos/ceramicos/lavabo-ania-52047041,Lavabo,"
El Lavabo Ania de Urrea es un lavabo para baño moderno y elegante, ideal para una instalación de Simplo. Está hecho de cerámica de alto brillo y no tiene rebosadero, lo que lo hace ideal para baños pequeños. El lavamanos Ania es muy práctico ya que no requiere de perforaciones en la pared para su instalación, lo que lo hace muy fácil de instalar. Su diseño moderno y su acabado en alto brillo, harán que tu baño se vea moderno y sofisticado. El Lavabo Ania de Urrea es una excelente opción para tu baño."
WC ROYALTY MF AL BLANCO C/ ASIENTO,58058021,,https://urrea.mx/banos/ceramicos/wc-royalty-mf-al-blanco-c-asiento-58058021,WC,"
El WC ROYALTY MF AL BLANCO C/ ASIENTO de Urrea es un inodoro de lujo, perfecto para los baños modernos. Está diseñado para brindar una instalación simple y fácil, con una apariencia moderna y una sensación de lujo. Las características únicas de este producto incluyen un asiento ergonómico para mayor comodidad, un diseño elegante y una superficie blanca que lo hace ideal para cualquier decoración de baño. Además, está hecho con materiales resistentes para que dure mucho tiempo. Esta es la mejor opción para aquellos que buscan un WC para su baño que sea moderno, elegante y duradero."
"Lavabo Cosmos 4""",52006042,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4”
• Altura normal",https://urrea.mx/banos/ceramicos/lavabo-cosmos-4-52006042,Lavabo,"El Lavabo Cosmos 4 de Urrea es el lavamanos perfecto para tu baño. Está fabricado con cerámica de alto brillo para ofrecerte una experiencia de uso única. Cuenta con un rebosadero y su altura es la normal para un lavabo de pedestal a piso. Está disponible en 4” para que elijas la medida que mejor se adapte a tus necesidades. Su instalación de Simplo lo hace un producto ideal para cualquier baño. Además, su diseño moderno y elegante le dará un toque de clase a tu hogar. El Lavabo Cosmos 4 de Urrea es la opción perfecta para tu baño."
One Piece ATLANTICA II,TZ2061A021,"• MAP 750g
• Descarga: 4.8/3.5 LPD
• Tipo de Descarga: Botón Dual
• Cerámica de alto brillo
• Asiento de cierre lento
• Trampa expuesta
• Altura Confort 16 1/2""
•Válvula de Descarga Sencilla de 2""",https://urrea.mx/banos/ceramicos/one-piece-atlantica-ii-tz2061a021,WC,"One Piece ATLANTICA II de Urrea es un inodoro moderno y de alto brillo, perfecto para los baños. Está hecho con cerámica de primera calidad para asegurar una instalación de Simplo fácil y segura. Cuenta con un MAP de 750g, una descarga de 4.8/3.5 LPD, un botón dual para la descarga, un asiento de cierre lento y una trampa expuesta. Además, su altura de confort es de 16 1/2"" y su válvula de descarga sencilla de 2"". Esta es la mejor opción para un wc para baños modernos y seguros."
One Piece bravo,TZ2062A021,"• MAP 1000g
• Descarga: 4.8/3.5 LPD
• Tipo de Descarga: Botón Dual
• Cerámica de alto brillo
• Asiento Slim de cierre lento
• Trampa oculta
• Altura Confort 15 3/4""
•Válvula de Descarga Sencilla de 3""",https://urrea.mx/banos/ceramicos/one-piece-bravo-tz2062a021,WC,"One Piece Bravo de Urrea es el inodoro perfecto para los baños modernos. Está hecho con una cerámica de alto brillo para una apariencia limpia y elegante. Su MAP 1000g y descarga de 4.8/3.5 LPD lo hacen uno de los inodoros más eficientes del mercado. El botón dual de descarga es fácil de usar y el asiento Slim de cierre lento añade un toque de lujo. Además, el inodoro cuenta con una trampa oculta, una altura de confort de 15 3/4"" y una válvula de descarga sencilla de 3"". La instalación de Simplo hace que sea un proceso rápido y sencillo. One Piece Bravo es el inodoro perfecto para los baños modernos."
Taza Dolphin AL,50430022,"• Sanitario alargado
• Descarga: 4.8 / 3 LPD
• Tipo de Descarga: botón dual superior
• Altura: 15 1/2”
• Trampa: expuesta esmaltada
• Cerámica de alto brillo
• MAP: 800gr
•Válvula de Descarga Dual de 3""",https://urrea.mx/banos/ceramicos/taza-dolphin-al-50430022,WC,"La Taza Dolphin AL de Urrea es un inodoro WC para baños de instalación simplo. Esta taza sanitaria alargada ofrece una descarga dual superior de 4.8 / 3 LPD. Su altura es de 15 1/2” y cuenta con una trampa expuesta esmaltada. La cerámica de alto brillo y la válvula de descarga dual de 3"" le otorgan una resistencia de hasta 800gr. Esta taza es la solución perfecta para los baños de tus sueños. Diseñada para ofrecer una experiencia de usuario cómoda y segura, la Taza Dolphin AL de Urrea es la mejor opción para tu hogar."
Paquete Royalty Alargado,58091021,"Incluye: Taza Royalty 4.8 AL, Tanque Royalty 4.8 AL, Lavabo Royalty II 4”, Pedestal Royalty II",https://urrea.mx/banos/ceramicos/paquete-royalty-alargado-58091021,Kit WC lavabo,"El Paquete Royalty Alargado de Urrea es el kit perfecto para tu baño. Este paquete incluye una taza Royalty 4.8 AL, un tanque Royalty 4.8 AL, un lavabo Royalty II 4” y un pedestal Royalty II. Estas piezas de baño de la marca Urrea están diseñadas para ser fáciles de instalar y ofrecer una instalación de Simplo. El lavabo para baño es ideal para un lavamanos, y el wc para baños es perfecto para un inodoro. La calidad y durabilidad de este paquete Royalty Alargado te ofrece la seguridad de que tu baño estará equipado con los mejores productos de baño."
"Lavabo Royalty II 4""",52616022,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4” taladros
• Altura normal",https://urrea.mx/banos/ceramicos/lavabo-royalty-ii-4-52616022,Lavabo,"El Lavabo Royalty II 4 de Urrea es un lavamanos de pedestal a piso de cerámica de alto brillo, con rebosadero y disponible en 4” taladros. Esta moderna y elegante pieza es perfecta para tu baño, con una altura normal para la instalación de Simplo. El Lavabo Royalty II 4 es una excelente opción para tu hogar, con un diseño moderno y resistente que seguramente te encantará. Esta pieza es liviana y fácil de instalar, lo que la hace ideal para actualizar tu baño. El Lavabo Royalty II 4 es una excelente opción para todos los que buscan un lavamanos de calidad a un precio justo."
Sanitario one-piece alargado 4006,WC.4006.01,"• MAP 800g
• Descarga: 4.8/3 LPD
• Tipo de Descarga: Botón Dual
• Cerámica de alto brillo
• Incluye Asiento 
• Trampa expuesta
• Altura Confort 15 1/2""",https://urrea.mx/banos/ceramicos/sanitario-one-piece-alargado-4006-wc-4006-01,WC,"El Sanitario one-piece alargado 4006 de la marca Urrea es un inodoro moderno y elegante, perfecto para los baños modernos. Está hecho con una cerámica de alto brillo que le da un aspecto lujoso. Esta WC de última generación ofrece una descarga de 4.8/3 LPD con un botón dual para una descarga rápida y segura. El Sanitario one-piece alargado 4006 también incluye un asiento para mayor comodidad, una trampa expuesta para una instalación de Simplo y una altura de confort de 15 1/2"" para una mayor comodidad. Esta WC es una excelente opción para los baños modernos que buscan una apariencia lujosa y una descarga rápida y segura."
Pedestal Austria,53010042,"• Lavabo de pedestal a piso
• Cerámica de alto brillo
• Con rebosadero
• Disponible en 4” y 1 taladro
• Altura normal",https://urrea.mx/banos/ceramicos/pedestal-austria-53010042,Lavabo,"El Pedestal Austria de la marca Urrea es el perfecto lavabo para baño. Este producto es un lavamanos de pedestal a piso, hecho de cerámica de alto brillo con rebosadero. Está disponible en 4” y 1 taladro, con una altura normal, ideal para la instalación de Simplo. Es ideal para un baño moderno, con su diseño simple y elegante que seguramente le encantará a todos. El Pedestal Austria es una excelente opción para añadir un toque de estilo a su baño."
